Equipo,Escalador,X,Y,Z,Inclinacion X,Inclinacion Y,Cima
LIFFT,facu,13979.601061396661,14082.611340503272,3125.1,-185.528,-181.707,
LIFFT,lucas,13917.214860141794,13982.550210465555,3150.9,-184.289,-180.403,
LIFFT,fran,14095.514633507684,14073.866530424968,3107.7,-186.475,-182.437,
LIFFT,ivan,13908.431318894765,13864.468038232266,3170.8,-183.391,-179.315,
LIFFT,facu,13979.601061396661,14082.611340503272,3125.1,-185.528,-181.707,
LIFFT,lucas,13917.214860141794,13982.550210465555,3150.9,-184.289,-180.403,
LIFFT,fran,14095.514633507684,14073.866530424968,3107.7,-186.475,-182.437,
LIFFT,ivan,13908.431318894765,13864.468038232266,3170.8,-183.391,-179.315,
LIFFT,facu,13979.601061396661,14082.611340503272,3125.1,-185.528,-181.707,
LIFFT,lucas,13917.214860141794,13982.550210465555,3150.9,-184.289,-180.403,
LIFFT,fran,14095.514633507684,14073.866530424968,3107.7,-186.475,-182.437,
LIFFT,ivan,13908.431318894765,13864.468038232266,3170.8,-183.391,-179.315,
LIFFT,facu,14004.328954151832,14126.068576033029,3114.2,-186.045,-182.257,
LIFFT,lucas,13867.99815247753,13973.734560365283,3160.1,-183.8,-179.984,
LIFFT,fran,14051.747489232936,14049.691396877595,3118.7,-185.926,-181.923,
LIFFT,ivan,13885.620791757825,13908.961631610806,3167.5,-183.503,-179.543,
LIFFT,facu,14004.328954151832,14126.068576033029,3114.2,-186.045,-182.257,
LIFFT,lucas,13867.99815247753,13973.734560365283,3160.1,-183.8,-179.984,
LIFFT,fran,14051.747489232936,14049.691396877595,3118.7,-185.926,-181.923,
LIFFT,ivan,13885.620791757825,13908.961631610806,3167.5,-183.503,-179.543,
LIFFT,facu,14004.328954151832,14126.068576033029,3114.2,-186.045,-182.257,
LIFFT,lucas,13867.99815247753,13973.734560365283,3160.1,-183.8,-179.984,
LIFFT,fran,14051.747489232936,14049.691396877595,3118.7,-185.926,-181.923,
LIFFT,ivan,13885.620791757825,13908.961631610806,3167.5,-183.503,-179.543,
LIFFT,facu,14004.328954151832,14126.068576033029,3114.2,-186.045,-182.257,
LIFFT,lucas,13867.99815247753,13973.734560365283,3160.1,-183.8,-179.984,
LIFFT,fran,14051.747489232936,14049.691396877595,3118.7,-185.926,-181.923,
LIFFT,ivan,13885.620791757825,13908.961631610806,3167.5,-183.503,-179.543,
LIFFT,facu,13965.204267428167,14157.201498940703,3115.6,-185.921,-182.255,
LIFFT,lucas,13834.312768644928,14010.684457740652,3159.7,-183.764,-180.071,
LIFFT,fran,14016.167221937309,14014.562426224134,3129.9,-185.372,-181.37,
LIFFT,ivan,13855.005294723316,13869.43074063514,3178.5,-182.961,-178.986,
LIFFT,facu,13965.204267428167,14157.201498940703,3115.6,-185.921,-182.255,
LIFFT,lucas,13834.312768644928,14010.684457740652,3159.7,-183.764,-180.071,
LIFFT,fran,14016.167221937309,14014.562426224134,3129.9,-185.372,-181.37,
LIFFT,ivan,13855.005294723316,13869.43074063514,3178.5,-182.961,-178.986,
LIFFT,facu,13936.69817375227,14198.279505505541,3113.7,-185.959,-182.414,
LIFFT,lucas,13855.535367085033,13965.411934998374,3163.4,-183.634,-179.825,
LIFFT,fran,13994.14789127037,14059.452838084351,3126.4,-185.493,-181.607,
LIFFT,ivan,13904.507256516305,13862.391154095756,3171.7,-183.343,-179.27,
LIFFT,facu,13936.69817375227,14198.279505505541,3113.7,-185.959,-182.414,
LIFFT,lucas,13855.535367085033,13965.411934998374,3163.4,-183.634,-179.825,
LIFFT,fran,13994.14789127037,14059.452838084351,3126.4,-185.493,-181.607,
LIFFT,ivan,13904.507256516305,13862.391154095756,3171.7,-183.343,-179.27,
LIFFT,facu,13936.69817375227,14198.279505505541,3113.7,-185.959,-182.414,
LIFFT,lucas,13855.535367085033,13965.411934998374,3163.4,-183.634,-179.825,
LIFFT,fran,13994.14789127037,14059.452838084351,3126.4,-185.493,-181.607,
LIFFT,ivan,13904.507256516305,13862.391154095756,3171.7,-183.343,-179.27,
LIFFT,facu,13936.69817375227,14198.279505505541,3113.7,-185.959,-182.414,
LIFFT,lucas,13855.535367085033,13965.411934998374,3163.4,-183.634,-179.825,
LIFFT,fran,13994.14789127037,14059.452838084351,3126.4,-185.493,-181.607,
LIFFT,ivan,13904.507256516305,13862.391154095756,3171.7,-183.343,-179.27,
LIFFT,facu,13936.69817375227,14198.279505505541,3113.7,-185.959,-182.414,
LIFFT,lucas,13855.535367085033,13965.411934998374,3163.4,-183.634,-179.825,
LIFFT,fran,13994.14789127037,14059.452838084351,3126.4,-185.493,-181.607,
LIFFT,ivan,13904.507256516305,13862.391154095756,3171.7,-183.343,-179.27,
LIFFT,facu,13925.10514158396,14149.642054861572,3123.3,-185.52,-181.911,
LIFFT,lucas,13833.513330073236,14010.301019260041,3159.9,-183.754,-180.062,
LIFFT,fran,13949.946970083121,14082.825440981731,3129.8,-185.271,-181.502,
LIFFT,ivan,13953.93977342045,13869.902896405058,3162.6,-183.825,-179.679,
LIFFT,facu,13925.10514158396,14149.642054861572,3123.3,-185.52,-181.911,
LIFFT,lucas,13833.513330073236,14010.301019260041,3159.9,-183.754,-180.062,
LIFFT,fran,13949.946970083121,14082.825440981731,3129.8,-185.271,-181.502,
LIFFT,ivan,13953.93977342045,13869.902896405058,3162.6,-183.825,-179.679,
LIFFT,facu,13925.10514158396,14149.642054861572,3123.3,-185.52,-181.911,
LIFFT,lucas,13833.513330073236,14010.301019260041,3159.9,-183.754,-180.062,
LIFFT,fran,13949.946970083121,14082.825440981731,3129.8,-185.271,-181.502,
LIFFT,ivan,13953.93977342045,13869.902896405058,3162.6,-183.825,-179.679,
LIFFT,facu,13925.10514158396,14149.642054861572,3123.3,-185.52,-181.911,
LIFFT,lucas,13833.513330073236,14010.301019260041,3159.9,-183.754,-180.062,
LIFFT,fran,13949.946970083121,14082.825440981731,3129.8,-185.271,-181.502,
LIFFT,ivan,13953.93977342045,13869.902896405058,3162.6,-183.825,-179.679,
LIFFT,facu,13956.405037167711,14188.633291523753,3112.1,-186.064,-182.467,
LIFFT,lucas,13850.238645004523,13963.181343534829,3164.6,-183.572,-179.768,
LIFFT,fran,13927.527121371979,14127.517167103793,3126.4,-185.387,-181.735,
LIFFT,ivan,13928.794316760264,13913.119860774976,3159.9,-183.907,-179.88,
LIFFT,facu,13956.405037167711,14188.633291523753,3112.1,-186.064,-182.467,
LIFFT,lucas,13850.238645004523,13963.181343534829,3164.6,-183.572,-179.768,
LIFFT,fran,13927.527121371979,14127.517167103793,3126.4,-185.387,-181.735,
LIFFT,ivan,13928.794316760264,13913.119860774976,3159.9,-183.907,-179.88,
LIFFT,facu,13956.405037167711,14188.633291523753,3112.1,-186.064,-182.467,
LIFFT,lucas,13850.238645004523,13963.181343534829,3164.6,-183.572,-179.768,
LIFFT,fran,13927.527121371979,14127.517167103793,3126.4,-185.387,-181.735,
