EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13333.5, 12845.588136755316, 3412.5951395531547
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14859.097200554144, 14496.0, 2912.1264183820217
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14800.0, 14000.0, 3003.640831758034
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14859.097200554155, 14496.0, 2912.12641838202
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14608.0, 15053.086891001905, 2861.639550825308
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15024.0, 2969.5976710775044
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13600.0, 14692.820323027554, 3089.374330243515
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12974.625921919243, 14592.0, 3205.0438055630875
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15056.0, 14000.0, 2960.6328317580346
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13251.754051130265, 14432.0, 3186.3927565320682
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14208.0, 13639.733432025649, 3157.905126410712
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15280.0, 2927.046502835539
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13312.0, 12808.349044392584, 3421.1760810535816
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14886.810013475246, 14512.0, 2904.7321696150666
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14885.943988071473, 14511.5, 2904.9634382914137
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14627.0, 15085.995856345715, 2852.796845298871
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15056.0, 2964.305875236295
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13587.5, 14714.470958122165, 3087.9293599886246
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12942.58298197922, 14610.5, 3207.184992705208
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15089.0, 14000.0, 2955.052775047259
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13228.371365228086, 14445.5, 3187.9756263117333
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14214.5, 13628.47510177645, 3158.619219678878
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15320.0, 2920.353119092628
EQUIPO: CopNieve  	ESCALADOR: laura     	POSICION: 13290.5, 12771.109952029852, 3429.73335506987
EQUIPO: CopNieve  	ESCALADOR: oscar     	POSICION: 14914.522826396347, 14528.0, 2897.3248134907526
EQUIPO: CopNieve  	ESCALADOR: facu      	POSICION: 14850.0, 14000.0, 2995.2797731569
EQUIPO: CopNieve  	ESCALADOR: lucas     	POSICION: 14912.79077558879, 14527.0, 2897.78815725313
EQUIPO: CopNieve  	ESCALADOR: juan      	POSICION: 14646.0, 15118.904821689524, 2843.9356563505335
EQUIPO: CopNieve  	ESCALADOR: emilio    	POSICION: 14000.0, 15088.0, 2959.006336483932
EQUIPO: CopNieve  	ESCALADOR: diana     	POSICION: 13575.0, 14736.121593216776, 3086.4829380339374
EQUIPO: CopNieve  	ESCALADOR: raul      	POSICION: 12910.540042039196, 14629.0, 3209.3230000440935
EQUIPO: CopNieve  	ESCALADOR: marta     	POSICION: 15122.0, 14000.0, 2949.464483931947
EQUIPO: CopNieve  	ESCALADOR: roberto   	POSICION: 13204.988679325907, 14459.0, 3189.5568028287557
EQUIPO: CopNieve  	ESCALADOR: valentina 	POSICION: 14221.0, 13617.216771527252, 3159.33292040742
EQUIPO: CopNieve  	ESCALADOR: sergio    	POSICION: 14000.0, 15360.0, 2913.647637051039
